Code;Libellé;Médiane du niveau de vie 2021
01386;Saint-Sorlin-en-Bugey;26690
01387;Saint-Sulpice;23240
01388;Saint-Trivier-de-Courtes;21030
01389;Saint-Trivier-sur-Moignans;23920
01390;Saint-Vulbas;24750
01391;Salavre;22940
01392;Samognat;27660
01393;Sandrans;25970
01396;Sault-Brénaz;21130
01397;Sauverny;41070
01398;Savigneux;26370
01399;Ségny;42330
01400;Seillonnaz;22970
01401;Sergy;42940
01402;Sermoyer;22230
01403;Serrières-de-Briord;22690
01404;Serrières-sur-Ain;23640
01405;Servas;22670
01406;Servignat;23480
01407;Seyssel;23780
01408;Simandre-sur-Suran;23210
01410;Sonthonnax-la-Montagne;27530
01411;Souclin;24340
01412;Sulignat;24630
01415;Talissieu;23340
01416;Tenay;20410
01418;Thil;30620
01419;Thoiry;38950
01420;Thoissey;20430
01421;Torcieu;22620
01422;Tossiat;26180
01423;Toussieux;27870
01424;Tramoyes;31610
01425;La Tranclière;25050
01426;Val-Revermont;24280
01427;Trévoux;23920
01428;Valeins;23780
01429;Vandeins;24170
01430;Varambon;23800
01431;Vaux-en-Bugey;25240
01432;Verjon;23640
01433;Vernoux;20450
01434;Versailleux;25730
01435;Versonnex;38970
01436;Vesancy;45200
01437;Vescours;23090
01439;Vésines;N/A - résultat non disponible
01441;Vieu-d'Izenave;23450
01443;Villars-les-Dombes;24480
01444;Villebois;22700
01445;Villemotier;23580
01446;Villeneuve;26440
01447;Villereversure;23600
01448;Villes;30500
01449;Villette-sur-Ain;26020
01450;Villieu-Loyes-Mollon;26810
01451;Viriat;25470
01452;Virieu-le-Grand;20600
01453;Arvière-en-Valromey;22830
01454;Virignin;24130
01456;Vongnes;N/A - résultat non disponible
01457;Vonnas;22000
02001;Abbécourt;21150
02002;Achery;22340
02003;Acy;23020
02004;Agnicourt-et-Séchelles;20880
02005;Aguilcourt;24020
02006;Aisonville-et-Bernoville;21910
02007;Aizelles;22340
02008;Aizy-Jouy;21950
02009;Alaincourt;22980
02010;Allemant;21980
02011;Ambleny;24380
02012;Ambrief;N/A - résultat non disponible
02013;Amifontaine;23230
02014;Amigny-Rouy;23040
02015;Ancienville;N/A - résultat non disponible
02016;Andelain;21900
02017;Anguilcourt-le-Sart;21630
02018;Anizy-le-Grand;20610
02019;Annois;21860
02020;Any-Martin-Rieux;19970
02021;Archon;N/A - résultat non disponible
02022;Arcy-Sainte-Restitue;23140
02023;Armentières-sur-Ourcq;22610
02024;Arrancy;N/A - résultat non disponible
02025;Artemps;23930
02027;Assis-sur-Serre;19990
02028;Athies-sous-Laon;22820
02029;Attilly;24790
02030;Aubencheul-aux-Bois;22440
02031;Aubenton;18600
02032;Aubigny-aux-Kaisnes;20000
02033;Aubigny-en-Laonnois;26440
02034;Audignicourt;21270
02035;Audigny;19950
02036;Augy;N/A - résultat non disponible
02037;Aulnois-sous-Laon;21970
02038;Les Autels;N/A - résultat non disponible
02039;Autremencourt;20530
02040;Autreppes;21270
02041;Autreville;23160
02042;Azy-sur-Marne;23970
02043;Bagneux;N/A - résultat non disponible
02044;Bancigny;N/A - résultat non disponible
02046;Barenton-Bugny;23250
02047;Barenton-Cel;23580
02048;Barenton-sur-Serre;22840
02049;Barisis-aux-Bois;23500
02050;Barzy-en-Thiérache;21140
02051;Barzy-sur-Marne;25580
02052;Bassoles-Aulers;22970
02053;Vallées en Champagne;26580
02054;Bazoches-et-Saint-Thibaut;24020
02055;Beaumé;N/A - résultat non disponible
02056;Beaumont-en-Beine;22300
02057;Beaurevoir;19030
02058;Beaurieux;20510
02059;Beautor;17760
02060;Beauvois-en-Vermandois;22740
02061;Becquigny;19290
02062;Belleau;28100
02063;Bellenglise;22500
02064;Belleu;20140
02065;Bellicourt;21080
02066;Benay;22250
02067;Bergues-sur-Sambre;23420
02068;Berlancourt;N/A - résultat non disponible
02069;Berlise;N/A - résultat non disponible
02070;Bernot;22110
02071;Berny-Rivière;23920
02072;Berrieux;25760
02073;Berry-au-Bac;21950
02074;Bertaucourt-Epourdon;21750
02075;Berthenicourt;22760
02076;Bertricourt;28980
02078;Besmé;21360
02079;Besmont;20070
02080;Besny-et-Loizy;26260
02081;Béthancourt-en-Vaux;24090
02082;Beugneux;22980
02083;Beuvardes;23490
02084;Bézu-le-Guéry;25230
02085;Bézu-Saint-Germain;23830
02086;Bichancourt;22450
02087;Bieuxy;N/A - résultat non disponible
02088;Bièvres;N/A - résultat non disponible
02089;Billy-sur-Aisne;22590
02090;Billy-sur-Ourcq;22540
02091;Blanzy-lès-Fismes;23880
02093;Blérancourt;19760
02094;Blesmes;25760
02095;Bohain-en-Vermandois;16190
02096;Bois-lès-Pargny;23420
02097;Boncourt;19640
02098;Bonneil;26710
02099;Bonnesvalyn;22880
02100;Bony;19850
02101;Bosmont-sur-Serre;21500
02102;Bouconville-Vauclair;23830
02103;Boué;20360
02104;Bouffignereux;27530
02105;Bouresches;23410
